Date,Open,High,Low,Close,Volume,log_return,sma20,sma50,macd,rsi14,volume_change
2015-03-16,35.66743918521436,35.81365088461088,35.50402224949176,35.74484634399414,35273500,0.004340860806304772,37.03151435852051,37.60006820678711,-0.4910450079831179,24.131344264580306,-0.39191693516550385
2015-03-17,35.58141856309698,35.977056854568836,35.39220367337029,35.8652458190918,31673400,0.003362643027285363,36.95066738128662,37.51871192932129,-0.4940726282968342,26.775061469615125,-0.10206245481735576
2015-03-18,35.63301615674761,36.83712614042246,35.54700970688616,36.55329895019531,44194800,0.019002697112450034,36.90637321472168,37.45846122741699,-0.4359268089298425,36.219166728369636,0.39532857224042894
2015-03-19,36.3468799183136,36.6307071166705,36.31247930594512,36.372684478759766,33879100,-0.00495337415384923,36.85433807373047,37.406212692260745,-0.399811132686402,36.21910996492189,-0.23341433833844705
2015-03-20,36.60492132559415,36.96615251532773,36.54471612730522,36.88014602661133,71904500,0.013855291663213738,36.812194633483884,37.35420692443848,-0.32647785964498865,41.961498941463226,1.1223851873278807
2015-03-23,36.88014369478646,37.095163183919645,36.794133930570965,36.86294174194336,26246100,-0.0004666006130392166,36.7567195892334,37.27862815856933,-0.26667489225392416,46.27675874517632,-0.6349866837263314
2015-03-24,36.79413097312215,37.129560824258725,36.76832968639988,36.897342681884766,25513300,0.0009327768379528971,36.70554485321045,37.21056945800781,-0.21403745088664294,48.53479080257027,-0.027920338640788578
2015-03-25,36.91453772545809,36.923140340811464,35.641622970883994,35.6588249206543,43469900,-0.03414287482941721,36.596744537353516,37.12781761169433,-0.26915725468978025,37.95621468686553,0.7038133052172788
2015-03-26,35.45241975685738,35.787849685466654,35.19439370629254,35.443817138671875,37495600,-0.0060478325728413815,36.47418403625488,37.0448649597168,-0.3264265849536301,40.945109474027014,-0.13743532881373088
2015-03-27,35.36640596995254,35.63303132753618,35.11698584678923,35.237396240234375,34401400,-0.005840915157757362,36.35033283233643,36.96461585998535,-0.3840423816459264,34.59011795166538,-0.0825216825440852
2015-03-30,35.349193009761464,35.72762930668321,35.185779423959154,35.228782653808594,35049700,-0.00024447434510767497,36.22476062774658,36.892392807006836,-0.4254935354456961,39.886543775690065,0.018845163278238708
2015-03-31,35.07398405814475,35.28900358430981,34.86756715035134,34.97077560424805,34887200,-0.007350707545770401,36.11209125518799,36.8020287322998,-0.4737023404053815,38.08670592802265,-0.004636273634296417
2015-04-01,34.91916148900695,35.05677382201138,34.6697413910805,35.02237319946289,36865300,0.001474361575193517,36.01146202087402,36.710134735107424,-0.5019584068904948,46.76724471741027,0.056699878465454434
2015-04-02,34.970766193990606,35.039573998698025,34.50632335502563,34.65253829956055,37487500,-0.010616113185142741,35.890190505981444,36.61887161254883,-0.547878526130134,38.42890559117583,0.016877660021754837
2015-04-06,34.6955356793966,35.9340464266024,34.55792337415151,35.736228942871094,39223700,0.03079401218309219,35.855357551574706,36.52861526489258,-0.4911639411548734,49.913476711382486,0.04631410470156716
2015-04-07,35.787847734976026,36.04587049054073,35.52982497941132,35.71903991699219,28809400,-0.00048111291118860516,35.798591995239256,36.43716133117676,-0.44250333172978173,48.50094833049829,-0.2655103929512004
2015-04-08,35.65883170149296,35.856649240063454,35.29760053043475,35.624427795410156,24753400,-0.002652301046745276,35.77235984802246,36.34671875,-0.40688355533512777,39.156739047365306,-0.14078738189618667
2015-04-09,35.47822686560356,35.79645489094753,35.47822686560356,35.67604446411133,25723900,0.0014478635577709464,35.75085849761963,36.33160659790039,-0.3702219044704478,41.61518160580759,0.03920673523637164
